lemma,upos,verb_form,case_counts,example_wordform,count
привлекать,VERB,Inf,,привлекать,2
впрочем,ADV,,,впрочем,2
усложнять,VERB,Fin,,усложняет,2
успешный,ADJ,,Nom:2,успешный,2
рисковать,VERB,Fin,,рискует,2
увлечь,VERB,Part,Ins:1|Nom:1,увлечённый,2
единомышленник,NOUN,,Acc:1|Gen:1,единомышленников,2
плюс,NOUN,,Nom:2,плюсы,2
сталкиваться,VERB,Fin,,сталкивается,2
восприятие,NOUN,,Acc:1|Nom:1,восприятие,2
управляющий,ADJ,,Acc:1|Nom:1,управляющую,2
обогреватель,NOUN,,Acc:1|Nom:1,обогреватель,2
щель,NOUN,,Acc:2,щели,2
неважный,ADJ,,Nom:1,неважное,2
корм,NOUN,,Acc:1|Nom:1,корм,2
сворачиваться,VERB,Fin,,сворачивается,2
клубок,NOUN,,Ins:2,клубком,2
звать,VERB,Inf,,позвать,2
неформальный,ADJ,,Acc:2,неформальные,2
активно,ADV,,,активнее,2
быстрорастущий,ADJ,,Acc:1|Gen:1,быстрорастущие,2
отдалённый,ADJ,,Acc:2,отдалённые,2
перевозка,NOUN,,Acc:1|Loc:1,перевозки,2
исток,NOUN,,Acc:2,исток,2
безусловный,ADJ,,Ins:2,безусловным,2
рекордсмен,NOUN,,Ins:2,рекордсменом,2
рим,PROPN,,Gen:1|Loc:1,Рима,2
калининград,PROPN,,Gen:2,Калининграда,2
чукотка,PROPN,,Gen:2,Чукотки,2
географический,ADJ,,Ins:1|Nom:1,географический,2
незамёрзший,ADJ,,Gen:2,незамёрзшей,2
пресный,ADJ,,Gen:2,пресной,2
информационный,ADJ,,Loc:2,информационном,2
потепление,NOUN,,Gen:1|Nom:1,потепление,2
интенсивность,NOUN,,Acc:1|Dat:1,интенсивность,2
неподалёку,ADV,,,неподалёку,2
разгораться,VERB,Fin,,разгораются,2
неотделимый,ADJ,,,неотделимо,2
обучаться,VERB,Fin,,обучалась,2
формулировать,VERB,Fin,,формулирует,2
свисток,NOUN,,Ins:1|Nom:1,свистком,2
взрываться,VERB,Fin,,взрываются,2
закуска,NOUN,,Acc:1|Ins:1,закусками,2
ловко,ADV,,,ловко,2
прыгать,VERB,Fin,,прыгают,2
обсуждать,VERB,Part,Gen:1|Nom:1,обсуждаемых,2
отменять,VERB,Fin,,отменяет,2
нейронаука,NOUN,,Gen:1|Nom:1,нейронауки,2
аналог,NOUN,,Acc:1|Nom:1,аналоги,2
изготовить,VERB,Part,Nom:2,изготовленные,2
максимально,ADV,,,максимально,2
текстура,NOUN,,Acc:2,текстуру,2
выращивание,NOUN,,Gen:1|Ins:1,выращивания,2
запускать,VERB,Fin,,запускает,2
размышление,NOUN,,Gen:1|Ins:1,размышлений,2
уложиться,VERB,Inf,,уложиться,2
назначить,VERB,Part,Acc:1,назначенное,2
переводить,VERB,Inf,,переводить,2
коммуникация,NOUN,,Dat:1|Gen:1,коммуникации,2
юмор,NOUN,,Gen:1|Loc:1,юморе,2
критичный,ADJ,,,критично,2
социолог,NOUN,,Nom:2,Социологи,2
потребность,NOUN,,Acc:1|Gen:1,потребности,2
пустовать,VERB,Part,Gen:2,пустующих,2
умереть,VERB,Fin,,умерли,2
населённый,ADJ,,Gen:2,населённого,2
грань,NOUN,,Nom:2,грань,2
фронт,NOUN,,Loc:1|Nom:1,фронт,2
союзник,NOUN,,Gen:2,союзников,2
сталинград,PROPN,,Ins:2,Сталинградом,2
курск,PROPN,,Ins:2,Курском,2
победа,NOUN,,Gen:1|Nom:1,Победа,2
войско,NOUN,,Gen:1|Nom:1,войск,2
немецкий,ADJ,,Acc:1|Gen:1,немецкого,2
наступление,NOUN,,Gen:1|Loc:1,наступления,2
обладать,VERB,Part,Nom:2,обладающая,2
повторять,VERB,Inf,,повторять,2
усиливать,VERB,Inf,,усиливать,2
ранее,ADV,,,ранее,2
дискриминация,NOUN,,Acc:1|Gen:1,дискриминацию,2
контролировать,VERB,Inf,,контролировать,2
переживать,VERB,Inf,,переживать,2
дефицит,NOUN,,Acc:1|Nom:1,дефицит,2
кондиционер,NOUN,,Nom:2,Кондиционеры,2
западноевропейский,ADJ,,Acc:2,западноевропейские,2
административный,ADJ,,Acc:2,административные,2
флот,NOUN,,Acc:1|Nom:1,флот,2
перестроить,VERB,Part,,перестроена,2
санкт-петербург,PROPN,,Acc:2,Санкт-Петербург,2
учреждение,NOUN,,Acc:1|Nom:1,учреждения,2
перенести,VERB,Fin,,перенесли,2
жёстко,ADV,,,жёстко,2
расстелить,VERB,Fin,,расстелили,2
плед,NOUN,,Acc:1|Nom:1,плед,2
фонарь,NOUN,,Gen:1|Ins:1,фонарей,2
падать,VERB,Part,Loc:1|Nom:1,падающая,2
слушать,VERB,Conv,,слушая,2
замереть,VERB,Part,Dat:1|Nom:1,замёрзшие,2
избавиться,VERB,Inf,,избавиться,2
освободиться,VERB,Fin,,освободилось,2
владение,NOUN,,Gen:1|Nom:1,Владение,2
сеанс,NOUN,,Acc:1|Gen:1,сеанс,2
попкорн,NOUN,,Acc:1|Ins:1,попкорн,2
кирилл,PROPN,,Gen:1|Nom:1,Кирилла,2
греческий,ADJ,,Loc:1|Nom:1,греческие,2
глаголица,NOUN,,Acc:1|Nom:1,глаголицу,2
алфавит,NOUN,,Acc:1|Nom:1,алфавит,2
письменность,NOUN,,Gen:1|Ins:1,письменностью,2
гибкость,NOUN,,Dat:1|Nom:1,гибкость,2
применить,VERB,Inf,,применить,2
мерка,NOUN,,Acc:1|Gen:1,мерку,2
идеальный,ADJ,,Nom:2,идеальный,2
запомнить,VERB,Inf,,запомнить,2
делиться,VERB,Inf,,поделиться,2
добровольный,ADJ,,Nom:2,добровольные,2
обеспечить,VERB,Inf,,обеспечить,2
встречать,VERB,Fin,,встречает,2
тяжело,ADV,,,тяжело,2
обувь,NOUN,,Acc:1|Nom:1,обувь,2
затихнуть,VERB,Fin,,затих,2
куда-то,ADV,,,куда-то,2
питомец,NOUN,,Acc:1|Gen:1,питомца,2
пойти,VERB,Inf,,пойти,2
материально,ADV,,,материально,2
неравномерно,ADV,,,неравномерно,2
поверхностный,ADJ,,Gen:1|Ins:1,поверхностной,2
достигать,VERB,Inf,,достигать,2
нигде,ADV,,,нигде,2
вторжение,NOUN,,Gen:1|Nom:1,вторжение,2
украина,PROPN,,Acc:1|Dat:1,Украину,2
разрушение,NOUN,,Dat:1|Gen:1,разрушениям,2
внутренне,ADV,,,внутренне,2
перемести,VERB,Part,Ins:2,перемещёнными,2
неоднородный,ADJ,,Ins:2,неоднородной,2
сдержанный,ADJ,,Acc:1|Ins:1,сдержанную,2
акцент,NOUN,,Acc:1|Nom:1,акцент,2
завершение,NOUN,,Gen:2,завершения,2
забронировать,VERB,Part,,забронирован,2
стойка,NOUN,,Gen:1|Ins:1,стойки,2
сейф,NOUN,,Nom:2,сейф,2
вносить,VERB,Inf,,вносить,2
ограничить,VERB,Inf,,ограничить,2
престижный,ADJ,,Acc:1|Ins:1,престижным,2
дворянский,ADJ,,Gen:1|Loc:1,дворянского,2
лирика,NOUN,,Gen:2,лирики,2
драматический,ADJ,,Gen:1|Ins:1,драматических,2
повесть,NOUN,,Loc:1|Nom:1,повести,2
русскоязычный,ADJ,,Ins:1|Nom:1,русскоязычными,2
будний,ADJ,,Nom:2,будний,2
тщательно,ADV,,,тщательно,2
непрерывно,ADV,,,непрерывно,2
сортировка,NOUN,,Gen:1|Nom:1,сортировки,2
останавливаться,VERB,Inf,,останавливаться,2
превратиться,VERB,Inf,,превратиться,2
волокно,NOUN,,Gen:2,волокон,2
инфекция,NOUN,,Acc:1|Gen:1,инфекций,2
показать,VERB,Part,,показано,2
лев,PROPN,,Gen:1|Nom:1,Льва,2
стать,VERB,Part,Acc:1|Gen:1,ставший,2
играть,VERB,Part,Ins:1|Nom:1,играющим,2
согласно,ADP,,,согласно,2
плёнка,NOUN,,Gen:1|Nom:1,плёнка,2
развить,VERB,Fin,,развил,2
использовать,VERB,Conv,,используя,2
контрастный,ADJ,,Gen:2,контрастных,2
эмоциональный,ADJ,,Gen:2,эмоционального,2
смысловой,ADJ,,Gen:2,смыслового,2
отказываться,VERB,Fin,,отказывались,2
геометрический,ADJ,,Dat:2,геометрическим,2
сократиться,VERB,Fin,,сократилось,2
тридцатый,ADJ,,Acc:1|Loc:1,тридцатые,2
дизайн,NOUN,,Acc:1|Gen:1,дизайн,2
запоминать,VERB,Fin,,запоминаются,2
биография,NOUN,,Gen:2,биографии,2
выскочить,VERB,Fin,,выскочил,2
заём,NOUN,,Gen:2,займа,2
взнос,NOUN,,Nom:2,взнос,2
занимать,VERB,Inf,,занимать,2
резерв,NOUN,,Gen:1|Ins:1,резерва,2
отдавать,VERB,Fin,,отдают,2
выносить,VERB,Inf,,выносить,2
выбрасывать,VERB,Fin,,выбрасывают,2
наружу,ADV,,,наружу,2
насаждение,NOUN,,Gen:2,насаждений,2
влага,NOUN,,Acc:2,влагу,2
тепловой,ADJ,,Gen:1|Loc:1,теплового,2
окраина,NOUN,,Ins:1|Loc:1,окраиной,2
смягчение,NOUN,,Dat:2,смягчению,2
отражать,VERB,Part,Acc:1|Dat:1,отражающие,2
продумать,VERB,Part,Acc:1|Nom:1,продуманное,2
толстой,PROPN,,Acc:1|Gen:1,Толстого,2
достоевский,PROPN,,Gen:2,Достоевского,2
потрясение,NOUN,,Gen:1|Ins:1,потрясениями,2
хроника,NOUN,,Acc:1|Nom:1,хронику,2
наказание,NOUN,,Nom:2,наказание,2
раскрывать,VERB,Fin,,раскрывают,2
приближение,NOUN,,Acc:1|Ins:1,приближение,2
отключение,NOUN,,Gen:1|Nom:1,отключения,2
убирать,VERB,Fin,,убираю,2
навес,NOUN,,Acc:1|Nom:1,навес,2
лопата,NOUN,,Acc:2,лопату,2
сугроб,NOUN,,Acc:1|Gen:1,сугроба,2
скользкий,ADJ,,Nom:2,скользкие,2
развиваться,VERB,Part,Dat:1|Gen:1,развивающимся,2
экспортёр,NOUN,,Acc:1|Gen:1,экспортёров,2
реалистичный,ADJ,,Gen:1|Ins:1,реалистичным,2
согласиться,VERB,Inf,,согласиться,2
издатель,NOUN,,Acc:1|Gen:1,издателей,2
жюри,NOUN,,Gen:1|Nom:1,жюри,2
литературовед,NOUN,,Gen:1|Nom:1,литературоведов,2
меняться,VERB,Part,Gen:1|Nom:1,меняющихся,2
защищать,VERB,Fin,,защищает,2
копирование,NOUN,,Ins:1|Nom:1,копирование,2
образовательный,ADJ,,Gen:1|Loc:1,образовательных,2
непереносимость,NOUN,,Gen:1|Nom:1,непереносимости,2
избегать,VERB,Inf,,избегать,2
навигатор,NOUN,,Dat:1|Loc:1,навигаторе,2
рутинный,ADJ,,Acc:1|Gen:1,рутинных,2
массив,NOUN,,Gen:1|Nom:1,массивов,2
предсказать,VERB,Inf,,предсказать,2
предстоять,VERB,Fin,,предстоит,2
встретить,VERB,Inf,,встретить,2
анкета,NOUN,,Acc:1|Gen:1,анкет,2
остановиться,VERB,Inf,,остановиться,2
изобретение,NOUN,,Loc:1|Nom:1,изобретении,2
гутенберг,PROPN,,Acc:1|Gen:1,Гутенберга,2
наборный,ADJ,,Ins:1|Nom:1,наборным,2
тринадцатый,ADJ,,Loc:2,тринадцатом,2
механический,ADJ,,Gen:1|Nom:1,механического,2
запустить,VERB,Fin,,запустила,2
шестнадцатый,ADJ,,Gen:2,шестнадцатого,2
планирование,NOUN,,Gen:1|Nom:1,планирования,2
лосось,NOUN,,Nom:2,лосось,2
жених,NOUN,,Gen:1|Nom:1,Жених,2
артист,NOUN,,Gen:2,артиста,2
мерч,NOUN,,Gen:2,мерча,2
откладывать,VERB,Inf,,откладывать,2
пересматривать,VERB,Inf,,пересматривать,2
огород,NOUN,,Acc:2,огород,2
надоесть,VERB,Fin,,надоело,2
мята,NOUN,,Ins:1|Nom:1,мята,2
залить,VERB,Fin,,залил,2
готовка,NOUN,,Ins:1|Nom:1,готовкой,2
сонный,ADJ,,Nom:2,сонный,2
задний,ADJ,,Acc:1|Loc:1,заднем,2
доехать,VERB,Fin,,доехали,2
поспать,VERB,Inf,,поспать,2
осьминог,NOUN,,Nom:2,Осьминоги,2
становиться,VERB,Conv,,становясь,2
нервный,ADJ,,Ins:2,нервной,2
особь,NOUN,,Gen:2,особей,2
соответствовать,VERB,Part,Acc:1|Nom:1,соответствующие,2
расплываться,VERB,Fin,,расплывается,2
разуметься,VERB,Part,Ins:2,разумеющимся,2
данный,ADJ,,Acc:2,данный,2
деление,NOUN,,Nom:2,деление,2
цепь,NOUN,,Gen:1|Nom:1,цепь,2
сфотографироваться,VERB,Inf,,сфотографироваться,2
каспийский,ADJ,,Acc:2,Каспийское,2
картографический,ADJ,,Nom:2,картографические,2
портить,VERB,Fin,,портит,2
нация,PROPN,,Gen:2,Наций,2
безопасность,PROPN,,Gen:2,Безопасности,2
блокировать,VERB,Inf,,заблокировать,2
прощание,NOUN,,Gen:2,прощания,2
расписывать,VERB,Fin,,расписывались,2
соболезнование,NOUN,,Acc:1|Gen:1,соболезнований,2
одеть,VERB,Part,,Одеты,2
бледный,ADJ,,Acc:1|Nom:1,бледных,2
снижать,VERB,Inf,,снижать,2
финальный,ADJ,,Acc:1|Nom:1,финальный,2
чипсы,NOUN,,Acc:2,чипсы,2
останавливать,VERB,Fin,,останавливал,2
забить,VERB,Fin,,забила,2
тайм,NOUN,,Gen:1|Loc:1,тайме,2
сровнять,VERB,Fin,,сравняли,2
добавить,VERB,Part,Acc:1,добавленное,2
пролетать,VERB,Fin,,пролетал,2
взорваться,VERB,Fin,,взорвалась,2
фиксация,NOUN,,Acc:1|Ins:1,фиксацию,2
действительность,NOUN,,Gen:1|Ins:1,действительности,2
катастрофа,NOUN,,Dat:1|Gen:1,катастрофам,2
драматургия,NOUN,,Acc:1|Gen:1,драматургию,2
сокращать,VERB,Inf,,сокращать,2
честный,ADJ,,Ins:1,честным,2
ведущий,ADJ,,Dat:1|Gen:1,ведущим,2
сказываться,VERB,Fin,,сказывается,2
электроника,NOUN,,Acc:2,электронику,2
поддержать,VERB,Inf,,поддержать,2
зависеть,VERB,Part,Gen:1|Nom:1,зависящих,2
адресный,ADJ,,Acc:2,адресную,2
ограничиваться,VERB,Fin,,ограничиваются,2
ровесник,NOUN,,Gen:1|Nom:1,ровесников,2
накопить,VERB,Fin,,накопил,2
карьерный,ADJ,,Acc:1|Gen:1,карьерного,2
орбитальный,ADJ,,Acc:1|Gen:1,орбитальных,2
коммерческий,ADJ,,Loc:1|Nom:1,коммерческий,2
частый,ADJ,,Gen:1|Loc:1,частых,2
предприниматель,NOUN,,Ins:1|Nom:1,предприниматель,2
первоначально,ADV,,,первоначально,2
согласовать,VERB,Part,Gen:2,согласованных,2
модерация,NOUN,,Gen:2,модерации,2
численность,NOUN,,Gen:1|Nom:1,численности,2
рекламодатель,NOUN,,Gen:1|Loc:1,рекламодателей,2
заявить,VERB,Part,Acc:1|Dat:1,заявленный,2
франц,PROPN,,Gen:1|Nom:1,Франца,2
мобилизация,NOUN,,Gen:2,мобилизаций,2
вступление,NOUN,,Acc:1|Gen:1,вступления,2
перерасти,VERB,Fin,,перерастут,2
визит,NOUN,,Acc:1|Nom:1,визит,2
замечать,VERB,Inf,,замечать,2
трагический,ADJ,,Acc:1|Gen:1,трагического,2
понемногу,ADV,,,понемногу,2
лапша,NOUN,,Acc:1|Nom:1,лапшу,2
корейский,ADJ,,Acc:1|Ins:1,корейские,2
вилок,NOUN,,Dat:1|Ins:1,вилке,2
захотеться,VERB,Fin,,захотелось,2
заказать,VERB,Inf,,заказать,2
растянуться,VERB,Fin,,растянулась,2
счесть,VERB,Inf,,посчитать,2
дефект,NOUN,,Gen:2,дефекта,2
прописать,VERB,Part,Acc:1|Gen:1,прописанные,2
переложить,VERB,Inf,,переложить,2
соединить,VERB,Fin,,соединил,2
исполнять,VERB,Part,Gen:2,исполняемых,2
симфония,NOUN,,Acc:1|Ins:1,симфониями,2
тревожный,ADJ,,Ins:1|Nom:1,тревожными,2
репертуар,NOUN,,Gen:1|Loc:1,репертуаре,2
реально,ADV,,,реально,2
конспект,NOUN,,Acc:2,конспекты,2
разбирать,VERB,Fin,,разбирали,2
тихий,ADV,,,потише,2
улечься,VERB,Fin,,улёгся,2
монгольский,ADJ,,Gen:1|Nom:1,монгольского,2
правитель,NOUN,,Gen:2,правителей,2
неплохо,ADV,,,неплохо,2
бессмысленный,ADJ,,Acc:1|Ins:1,бессмысленные,2
предметный,ADJ,,Gen:1|Ins:1,предметной,2
естественно,ADV,,,естественно,2
дословно,ADV,,,дословно,2
иконопись,NOUN,,Gen:1|Nom:1,иконописи,2
крещение,NOUN,,Ins:1|Loc:1,крещением,2
желток,NOUN,,Ins:1|Loc:1,желтке,2
монах,NOUN,,Gen:1|Nom:1,монах,2
защитить,VERB,Inf,,защитить,2
гибридный,ADJ,,Acc:2,гибридный,2
сослаться,VERB,Conv,,сославшись,2
кандидат,NOUN,,Gen:1|Nom:1,кандидатов,2
различаться,VERB,Inf,,различаться,2
классика,NOUN,,Ins:2,классикой,2
многократный,ADJ,,Acc:1|Gen:1,многократное,2
считать,VERB,Part,Nom:2,считавшиеся,2
навсегда,ADV,,,навсегда,2
тренд,NOUN,,Ins:1|Loc:1,тренде,2
открыто,ADV,,,открыто,2
заимствовать,VERB,Fin,,заимствует,2
открыть,VERB,Inf,,открыть,2
порча,NOUN,,Ins:2,порчей,2
словарь,NOUN,,Acc:1|Gen:1,словари,2
единственно,PART,,,единственно,2
администратор,NOUN,,Nom:2,администратор,2
разобрать,VERB,Fin,,разобрали,2
положиться,VERB,Inf,,положиться,2
родственный,ADJ,,Ins:1|Nom:1,родственными,2
евразия,PROPN,,Gen:2,Евразии,2
распространиться,VERB,Fin,,распространилась,2
ярмарка,NOUN,,Ins:1|Loc:1,ярмарках,2
сопровождать,VERB,Fin,,сопровождает,2
фольклорный,ADJ,,Loc:2,фольклорных,2
ансамбль,NOUN,,Ins:1|Loc:1,ансамблях,2
торговец,NOUN,,Dat:1|Nom:1,торговцам,2
искать,VERB,Part,Nom:2,искавшие,2
вырастать,VERB,Fin,,вырастал,2
крепостной,ADJ,,Gen:1|Nom:1,крепостных,2
планировка,NOUN,,Ins:1|Loc:1,планировке,2
выступать,VERB,Fin,,выступают,2
посредник,NOUN,,Gen:1|Ins:1,посредниками,2
снижать,VERB,Part,Acc:1|Nom:1,снижающую,2
обман,NOUN,,Gen:2,обмана,2
прижиться,VERB,Fin,,прижилась,2
троянский,ADJ,,Gen:1|Nom:1,Троянская,2
вымысел,NOUN,,Ins:2,вымыслом,2
поэма,NOUN,,Gen:1|Nom:1,поэм,2
западный,ADJ,,Acc:1|Loc:1,западной,2
обнаружить,VERB,Fin,,обнаружил,2
поселение,NOUN,,Acc:1|Nom:1,поселение,2
датировка,NOUN,,Acc:1|Dat:1,датировку,2
бронзовый,ADJ,,Gen:1|Nom:1,бронзового,2
предание,NOUN,,Gen:2,предания,2
произойти,VERB,Part,Gen:2,произошедшего,2
отделить,VERB,Inf,,отделить,2
зерно,NOUN,,Acc:1|Gen:1,зерно,2
север,PROPN,,Gen:2,Севера,2
сотня,NOUN,,Acc:1|Ins:1,сотни,2
оленеводство,NOUN,,Nom:2,оленеводство,2
рыболовство,NOUN,,Ins:1|Nom:1,рыболовство,2
чат-бот,NOUN,,Dat:1|Gen:1,чат-боту,2
велосипедист,NOUN,,Nom:2,велосипедист,2
навстречу,ADV,,,навстречу,2
отложить,VERB,Inf,,отложить,2
нарисовать,VERB,Fin,,нарисовали,2
угодно,ADV,,,угодно,2
справедливость,NOUN,,Gen:1|Loc:1,справедливости,2
ремесленный,ADJ,,Acc:1|Gen:1,ремесленного,2
открываться,VERB,Part,Gen:1|Nom:1,открывающейся,2
терпеливо,ADV,,,терпеливо,2
отойти,VERB,Fin,,отойдут,2
поймать,VERB,Inf,,поймать,2
прыжок,NOUN,,Acc:1|Ins:1,прыжком,2
вживую,ADV,,,вживую,2
князь,NOUN,,Nom:2,князья,2
расписать,VERB,Fin,,расписали,2
обида,NOUN,,Gen:2,обид,2
закупка,NOUN,,Gen:1|Nom:1,закупка,2
собраться,VERB,Inf,,собраться,2
упоминать,VERB,Fin,,упоминают,2
терапевт,NOUN,,Acc:1|Ins:1,терапевта,2
тревожность,NOUN,,Acc:1|Loc:1,тревожности,2
выгорание,NOUN,,Gen:1|Loc:1,выгорании,2
наедине,ADV,,,наедине,2
решающий,ADJ,,Acc:2,решающую,2
студенческий,ADJ,,Acc:1|Gen:1,студенческие,2
бедность,NOUN,,Acc:1|Loc:1,бедности,2
системный,ADJ,,Gen:1|Loc:1,системной,2
проработать,VERB,Fin,,проработал,2
попадать,VERB,Fin,,попадают,2
электромобиль,NOUN,,Gen:1|Nom:1,электромобилей,2
выпуск,NOUN,,Gen:1|Nom:1,выпуска,2
бензиновый,ADJ,,Acc:1|Gen:1,бензиновых,2
доступный,ADV,,,доступнее,2
утилизация,NOUN,,Acc:1|Nom:1,утилизация,2
олей,PROPN,,Ins:2,Олей,2
поссориться,VERB,Fin,,Поссорились,2
ерунда,NOUN,,Gen:2,ерунды,2
применить,VERB,Part,Gen:2,применимой,2
развлекательный,ADJ,,Acc:1|Ins:1,развлекательной,2
выбирать,VERB,Conv,,выбирая,2
фрагментарный,ADJ,,Acc:1|Dat:1,фрагментарное,2
распродажа,NOUN,,Acc:1|Nom:1,распродажа,2
примерочный,ADJ,,Gen:1|Nom:1,примерочных,2
убирать,VERB,Inf,,убирать,2
ссора,NOUN,,Gen:2,ссоры,2
переполнить,VERB,Part,Loc:1|Nom:1,переполненном,2
видеозвонок,NOUN,,Nom:2,видеозвонки,2
находить,VERB,Inf,,находить,2
сокращаться,VERB,Fin,,сокращается,2
лагерь,NOUN,,Gen:2,лагерей,2
автомобильный,ADJ,,Acc:1|Nom:1,автомобильный,2
зависеть,VERB,Inf,,зависеть,2
следовать,VERB,Inf,,следовать,2
выбрать,VERB,Inf,,выбрать,2
неверный,ADJ,,Acc:1,неверный,2
ошибочный,ADJ,,Ins:1|Nom:1,ошибочным,2
величина,NOUN,,Nom:2,величина,2
суждение,NOUN,,Acc:1|Gen:1,суждение,2
античный,ADJ,,Dat:1|Loc:1,античной,2
греция,PROPN,,Loc:2,Греции,2
непрерывный,ADJ,,Gen:2,непрерывного,2
улучшение,NOUN,,Gen:1|Loc:1,улучшения,2
южный,PROPN,,,Южной,2
разумность,NOUN,,Gen:2,разумности,2
страдать,VERB,Inf,,страдать,2
взаимный,ADJ,,Acc:1|Dat:1,взаимной,2
выдержать,VERB,Fin,,выдержала,2
банкомат,NOUN,,Nom:2,банкоматы,2
сходный,ADJ,,Acc:1|Ins:1,сходные,2
грамматический,ADJ,,Acc:1|Nom:1,грамматические,2
реконструировать,VERB,Fin,,реконструируют,2
однородный,ADJ,,Gen:1,однородны,2
дожидаться,VERB,Conv,,дожидаясь,2
назначить,VERB,Inf,,назначить,2
телефонный,ADJ,,Nom:2,телефонный,2
неизбежно,ADV,,,неизбежно,2
беречь,VERB,Fin,,береги,2
дорогой,ADV,,,подороже,2
раздражать,VERB,Fin,,раздражает,2
непосредственный,ADJ,,Acc:1|Nom:1,непосредственное,2
фиксировать,VERB,Fin,,фиксирует,2
актёрский,ADJ,,Nom:2,Актёрская,2
иллюстрация,NOUN,,Ins:2,иллюстрациями,2
издательский,ADJ,,Acc:1|Loc:1,издательских,2
линейка,NOUN,,Loc:1|Nom:1,линейках,2
аниме,NOUN,,Acc:1|Nom:1,аниме,2
стриминговый,ADJ,,Dat:1|Gen:1,стриминговым,2
хэллоуин,PROPN,,Nom:2,Хэллоуин,2
день,PROPN,,Ins:1|Nom:1,День,2
отходить,VERB,Fin,,отходит,2
кондитерский,ADJ,,Acc:1|Ins:1,кондитерскими,2
заимствование,NOUN,,Nom:2,заимствование,2
обожать,VERB,Fin,,обожала,2
стас,PROPN,,Nom:2,Стас,2
забавный,ADJ,,,Забавно,2
лежать,VERB,Inf,,лежать,2
загадка,NOUN,,Ins:1|Nom:1,загадка,2
подбор,NOUN,,Acc:1|Loc:1,подборе,2
звучание,NOUN,,Acc:1|Nom:1,звучание,2
лингвистика,NOUN,,Gen:1|Loc:1,лингвистике,2
бесчисленный,ADJ,,Dat:1|Gen:1,бесчисленных,2
объявить,VERB,Inf,,объявить,2
вылететь,VERB,Fin,,вылетели,2
табло,NOUN,,Acc:1|Loc:1,табло,2
восторг,NOUN,,Loc:2,восторге,2
бесконечно,ADV,,,бесконечно,2
терминал,NOUN,,Dat:1|Nom:1,терминалу,2
планшет,NOUN,,Acc:1|Gen:1,планшет,2
перекус,NOUN,,Acc:1|Nom:1,перекусы,2
отменить,VERB,Fin,,отменили,2
занять,VERB,Inf,,занять,2
исполняться,VERB,Fin,,исполняется,2
твёрдо,ADV,,,твёрдо,2
вечеринка,NOUN,,Acc:1|Nom:1,вечеринку,2
принцесса,NOUN,,Gen:2,принцесс,2
шарик,NOUN,,Acc:1|Ins:1,шарики,2
украшение,NOUN,,Acc:1|Ins:1,украшение,2
особенный,ADJ,,Acc:1|Nom:1,особенное,2
установить,VERB,Inf,,установить,2
вспомогательный,ADJ,,Nom:2,вспомогательный,2
типовой,ADJ,,Gen:1|Nom:1,типового,2
закрепиться,VERB,Fin,,закрепился,2
осикацу,NOUN,,Acc:1|Nom:1,осикацу,2
поклонник,NOUN,,Gen:1|Nom:1,поклонник,2
предпосылка,NOUN,,Acc:1|Gen:1,предпосылок,2
неизбежный,ADJ,,Loc:1,неизбежном,2
эволюция,NOUN,,Gen:1|Nom:1,эволюции,2
отвечать,VERB,Part,Acc:1|Nom:1,отвечающие,2
меньший,ADJ,,Acc:1|Ins:1,меньшую,2
чернила,NOUN,,Ins:1|Loc:1,чернилах,2
освещение,NOUN,,Acc:1|Gen:1,освещения,2
кинопрокат,NOUN,,Gen:1|Nom:1,кинопроката,2
легковой,ADJ,,Nom:2,легковой,2
затруднить,VERB,Part,,затруднено,2
хроник,NOUN,,Gen:1|Nom:1,хроники,2
превращать,VERB,Conv,,превращая,2
насытить,VERB,Part,Ins:1|Nom:1,насыщенная,2
выучить,VERB,Inf,,выучить,2
нестандартный,ADJ,,Acc:1|Gen:1,нестандартные,2
осваивать,VERB,Inf,,осваивать,2
екатерина,PROPN,,Gen:1|Nom:1,Екатерины,2
дон,PROPN,,Ins:1|Nom:1,Дон,2
съесть,VERB,Inf,,съесть,2
методика,NOUN,,Gen:1|Nom:1,методики,2
немалый,ADJ,,Acc:1|Nom:1,немалая,2
звено,NOUN,,Gen:1|Nom:1,звенья,2
внести,VERB,Inf,,внести,2
парламент,NOUN,,Acc:1|Loc:1,парламенте,2
партийный,ADJ,,Gen:2,партийной,2
пропорциональный,ADJ,,Gen:1|Loc:1,пропорциональном,2
представительство,NOUN,,Gen:1|Loc:1,представительстве,2
придумать,VERB,Inf,,придумать,2
настраивать,VERB,Inf,,настраивать,2
тренажёр,NOUN,,Acc:1|Nom:1,тренажёры,2
добавлять,VERB,Inf,,добавлять,2
ориентироваться,VERB,Conv,,ориентируясь,2
бросить,VERB,Inf,,бросить,2
повысить,VERB,Inf,,повысить,2
посвятить,VERB,Fin,,посвятила,2
подготовить,VERB,Part,Acc:1|Gen:1,подготовленной,2
измерить,VERB,Fin,,измерим,2
назначить,VERB,Fin,,назначим,2
наугад,ADV,,,наугад,2
обмениваться,VERB,Fin,,обмениваются,2
выигрывать,VERB,Fin,,выигрывают,2
конкуренция,NOUN,,Ins:1|Nom:1,конкуренцией,2
экономист,NOUN,,Nom:2,экономисты,2
преобладать,VERB,Fin,,преобладает,2
обойти,VERB,Fin,,Обошла,2
забрать,VERB,Inf,,забрать,2
астроном,NOUN,,Nom:2,астрономы,2
